year,file,cluster,value
2002,02053027DN.txt,organizations,University of Nairobi
2002,02053120DN.txt,organizations,University The Corporation
2002,02060326DN.txt,organizations,University
2002,02060326DN.txt,organizations,Klrlrl Women's University of Science and Technology Pamstech House
2002,02060326DN.txt,organizations,Kiriri Women's University of Science and Technology
2002,02060326DN.txt,organizations,The Kenya Methodist University
2002,02060409DN.txt,organizations,Nairobi University
2002,02060619DN.txt,organizations,University of Zimbabwe
2002,02062304SN.txt,organizations,United States International University
2002,02070513DN.txt,organizations,Makerere University
2002,02071025DN.txt,organizations,University
2002,02071025DN.txt,organizations,University Category
2002,02071026DN.txt,organizations,Oxford University
2002,02071026DN.txt,organizations,University of Nairobi
2002,02071606DN.txt,organizations,University
2002,02072216DN.txt,organizations,University of Nairobi
2002,02072313DN.txt,organizations,University of Free State
2002,02072415DN.txt,organizations,Institute University
2002,02072415DN.txt,organizations,Kenyatta University
2002,02072415DN.txt,organizations,University
2002,02072907DN.txt,organizations,Catholic University
2002,02072907DN.txt,organizations,Catholic University of Eastern
2002,02073008DN.txt,organizations,University
2002,02080408LS.txt,organizations,Oxford University
2002,02080736DN.txt,organizations,The Africa Nazarene University The Kenya Methodist University
2002,02080736DN.txt,organizations,Catholic University of Eastern Africa Daystar University 3
2002,02080736DN.txt,organizations,Jomo Kenyatta University of Agriculture and Technology Contact Telephone Number
2002,02080736DN.txt,organizations,Egerton University
2002,02080736DN.txt,organizations,Scott Theological College The United States International University Degree in Clinical Medicine
2002,02080736DN.txt,organizations,Strathmore University
2002,02080736DN.txt,organizations,University of Nairobi Moi University Applications
2002,02080736DN.txt,organizations,Maseno University Director KEMRIjCDC
2002,02080736DN.txt,organizations,Kabarak University _ Kiriri Women's University of Science & Technology Aga Khan University
2002,02080736DN.txt,organizations,The University of Eastern Africa
2002,02080910DN.txt,organizations,University
2002,02080910DN.txt,organizations,Utalii University
2002,02080918DN.txt,organizations,Warnborough University
2002,02080931DN.txt,organizations,University Way
2002,02081306DN.txt,organizations,Egerton University
2002,02081410DN.txt,organizations,West Virgi~ia University
2002,02081424DN.txt,organizations,Irish State University of
2002,02081424DN.txt,organizations,University of Oklahoma
2002,02081425DN.txt,organizations,University College
2002,02081425DN.txt,organizations,Catholic University of East Afri
2002,02081910DN.txt,organizations,Moi University
2002,02082214DN.txt,organizations,The University
2002,02082214DN.txt,organizations,Kampala International University
2002,02082616DN.txt,organizations,Witswaterand University
2002,02082706DN.txt,organizations,Photo/Paul Waweru Louis University
2002,02090906DN.txt,organizations,Moi University Vice
2002,02090906DN.txt,organizations,Moi University's College
2002,02091105MA.txt,organizations,Islamic University
2002,02091105MA.txt,organizations,University
2002,02091311DN.txt,organizations,University of Nairobi
2002,02091506LS.txt,organizations,Harvard University
2002,02091708DN.txt,organizations,University of Nairobi
2002,02092110SA.txt,organizations,University
2002,02092110SA.txt,organizations,State University
2002,02100218DN.txt,organizations,Jomo Kenyatta University of Agriculture and Technology
2002,02100606LS.txt,organizations,University
2002,02100606LS.txt,organizations,Stanford University Penina Nairesiae Kilaki
2002,02100618SN.txt,organizations,St. George's University Page -------------------Trial Version
2002,02100618SN.txt,organizations,St. George's University Qualified
2002,02100618SN.txt,organizations,sUniversity School of Medicine
2002,02101022DN.txt,organizations,University
2002,02101307LS.txt,organizations,University of Melbourne
2002,02102807DN.txt,organizations,Health Makerere University 3
2002,02102807DN.txt,organizations,Nairobi University's College of Agriculture and Veterinary Omondi
2002,02102807DN.txt,organizations,Moi University 38
2002,02102807DN.txt,organizations,University of Nairobi
2002,02110724DN.txt,organizations,University
2002,02112125DN.txt,organizations,University of Nairobi
2002,02112409LS.txt,organizations,University of California Irvine
2002,02112718DN.txt,organizations,Bar-Han University
2002,0211NC009D.txt,organizations,Harvard University
2002,02120208DN.txt,organizations,Premier League Andrew's University
2002,02120504HZ.txt,organizations,Makerere University
